Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q3_1,Q3_2,Q3_3,Q4,Q5,Q7,Q7_13_TEXT,Q9,Q9_ELAB,Q10_NL,Q10_NL_2_TEXT,Q10_BE,Q10_BE_2_TEXT,Q10_OTHER,Q10_OTHER_2_TEXT,Q10_ELAB,Q11_NL,Q11_NL_2_TEXT,Q11_BE,Q11_BE_2_TEXT,Q11_OTHER,Q11_OTHER_2_TEXT,Q11_ELAB,Q12_CanonSize,Q12_CanonSize_5_TEXT,Q12_A_CanonOral,Q13,Q14,Q14_ELAB,Q15,Q15_ELAB,Q12_B_CanonMultiple,Q12_B_ELAB,Q16,Q16_EX_1,Q16_EX_2,Q16_EX_3,Q16_ELAB,Q17,Q17_EX_1,Q17_EX_2,Q17_EX_3,Q17_ELAB,QPERS_GENDER,QPERS_BIRTH_COUNTRY,QPERS_LANG,QPERS_EDU,QPERS_LING_JOB,QPERS_READING,Q53,Q55,QPERS_IDEAS,QPERS_ORIGIN,QPERS_COMPLAIN,QPERS_AGE,Q10,Q11,Q9num,Q9numopp,Q10num,Q10numopp,Q11num,Q11numopp,Q7binary,Q13dialoog,Q13educatief,Q13elitair,Q13ouderwets,Q13reflectie,Q13fundament,Q13anders
100,1030,TRUE,2022-05-19 01:49:27,R_2wjiSHblELDyZMY,NL,"Ik ben zestien of ouder, besef dat mijn gegevens opgeslagen worden ten behoeve van wetenschappelijk onderzoek en ga hiermee akkoord",patricia de martelaere,connie palmen - de vriendschap,carry van bruggen - eva,mary dorna - laten we vader eruit gooien,fritzi harmsen van beeck,de kappelekensbaan - louis paul boon,paul snoek,trofee - schoeters,paul van ostaijen - bezette stad,jan jacob slauerhoff,patricia de martelaere,monica van paemel,hella haasse,louis paul boon,kappelekensbaan,een klassieke tekst in de oorspronkelijke (boek)vorm,NA,"...de Nederlandstalige literaire klassieken behandelen, met verplichte leeslijst",zonder canon kan je niks plaatsen of je nergens tegen verzetten,NA,NA,NA,NA,"Ja, voor alle onderwijsrichtingen",NA,"alle andere opties zijn discriminerend, je kan leerlingen niet uitsluiten omdat ze nooit eerder met iets in aanraking kwamen",NA,NA,NA,NA,"Ja, voor alle onderwijsrichtingen",NA,leren lezen en literatuur ontdekken is leren leven en bevordert kritische zin en empathie,50 werken,NA,Neutraal,"...een fundament van een collectief cultureel geheugen,...een aanzet tot reflectie en een bron voor debat,...een aanzet tot dialoog over literatuur en literatuurbeleving",Eens,een canon reflecteert een tijdsbeeld de helft van de auteurs is eeuwenlang vergeten,Eens,een canon reflecteert een tijdsbeeld steeds meer mensen met een andere achtergrond schrijven nederlands,Oneens,"het is niet zinvol het in hokjes op te delen, zo leren we nooit elkaars canon kennen",Beetje eens,NA,NA,NA,NA,Helemaal eens,beckman - kinderen van moeder aarde,dragt - ogen van tijgers,hartman - vechten voor overmorgen,jeugdliteratuur is ook literatuur alles begint daar,Vrouw,België,Nederlands,Hoger onderwijs (universitair),...wél met taal bezig,100,Nee,Ja,voorlezen met acteurs of auteurs themagerelateerde tekstbundelingen met korte fragmenten,via auteurs,NA,46,"Ja, voor alle onderwijsrichtingen","Ja, voor alle onderwijsrichtingen",2,0,2,0,2,0,Analoog,een aanzet tot dialoog over literatuur en literatuurbeleving,0,0,0,een aanzet tot reflectie en een bron voor debat,een fundament van een collectief cultureel geheugen,0
100,252,TRUE,2022-05-19 02:05:02,R_1I6pSyFmgXFtRjH,NL,"Ik ben zestien of ouder, besef dat mijn gegevens opgeslagen worden ten behoeve van wetenschappelijk onderzoek en ga hiermee akkoord",De Laatste Dichters - Christine Otten,NA,NA,NA,NA,NA,NA,NA,NA,NA,De laatste dichters - Christine Otten,NA,NA,Christine Otten,NA,NA,NA,"...de Nederlandstalige literaire klassieken behandelen, met verplichte leeslijst",NA,"Ja, voor alle onderwijsrichtingen (mavo/vmbo, havo, vwo)",NA,NA,NA,NA,NA,NA,"Ja, voor alle onderwijsrichtingen (mavo/vmbo, havo, vwo)",NA,NA,NA,NA,NA,NA,100 werken,NA,Eens,...een fundament van een collectief cultureel geheugen,Helemaal eens,NA,Helemaal eens,NA,Neutraal,NA,Helemaal eens,Wij slaven van Suriname - Anton de Kom,NA,NA,NA,Eens,NA,NA,NA,NA,Vrouw,Nederland,Nederlands,Hoger onderwijs (niet universitair),...wél met taal bezig,20,Nee,Ja,NA,NA,NA,27,"Ja, voor alle onderwijsrichtingen","Ja, voor alle onderwijsrichtingen",2,0,2,0,2,0,NA,0,0,0,0,0,een fundament van een collectief cultureel geheugen,0
100,651,TRUE,2022-05-19 02:05:56,R_2OVxUcnSQ8BFaqa,NL,"Ik ben zestien of ouder, besef dat mijn gegevens opgeslagen worden ten behoeve van wetenschappelijk onderzoek en ga hiermee akkoord",Gangreen 1- Jef Geeraerts,De Zondvloed - Jeroen Brouwers,De Kapellekensbaan- Louis Paul Boon,Het Verdriet van België- Hugo Claus,"Sire,geef me honderd dagen - Hugo De Ridder",De donkere kamer van Damocles - W.F. Hermans,Van den Vos Reynaerde- Willem die Madoce maakte,"Ik, Jan Cremer - Jan Cremer",De Witte- Ernest Claes,Het recht van den sterkste- Cyriel Buysse,Eenzaam Avontuur- Anne Blaman,Ik blanke kaffer- Paul Brondeel,NA,Louis Paul Boon,Bezette Stad - Paul van Ostaijen,"een klassieke tekst in de oorspronkelijke (boek)vorm,het lezen van een literatuurgeschiedenis,een werk met een literatuurhistorisch onderwerp, zoals een biografie",NA,"...de Nederlandstalige literaire klassieken behandelen, zonder verplichte leeslijst",NA,NA,NA,"Ja, maar alleen voor leerlingen van ...... (meerdere onderwijsvormen mogelijk)","ASO, KSO",NA,NA,In het huidige onderwijsklimaat verwachten dat leerlingen TSO en BSO een heel boek gaan lezen? Bonne chance!,NA,NA,"Ja, voor alle onderwijsrichtingen (BSO, TSO, KSO, ASO)",NA,NA,NA,NA,Geen vastgesteld aantal werken,NA,Beetje eens,"...een inspiratiebron,...een fundament van een collectief cultureel geheugen,...een aanzet tot dialoog over literatuur en literatuurbeleving,...een educatief instrument",Beetje oneens,NA,Neutraal,NA,Beetje eens,NA,Neutraal,NA,NA,NA,NA,Beetje eens,Pluk van de Petteflet- Annie MG Schmidt,NA,NA,NA,Man,België,Nederlands,Hoger onderwijs (universitair),...wél met taal bezig,50,Nee,Ja,"Tijdschriftnummers, debatten, festivals",Facebook,NA,35,"Ja, maar alleen voor leerlingen van ...","Ja, voor alle onderwijsrichtingen",1,1,1,1,2,0,Analoog,een aanzet tot dialoog over literatuur en literatuurbeleving,een educatief instrument,0,0,0,een fundament van een collectief cultureel geheugen,0
100,1901,TRUE,2022-05-19 02:31:21,R_2b0CIkQZZJq6ey6,NL,"Ik ben zestien of ouder, besef dat mijn gegevens opgeslagen worden ten behoeve van wetenschappelijk onderzoek en ga hiermee akkoord",De Kapellekensbaan - Louis Paul Boon,Max Havelaar - Multatuli,De Avonden - Gerard Reve,Minneliederen - Hendrik Van Veldeke,Spieghel Historiael - Jacob Van Maerlant,Bezette Stad - Paul Van Ostaijen,NA,NA,NA,NA,Knetterende Schedels - Roger Vande Velde,Mijn Kleine Oorlog - Louis Paul Boon,Kurt Köhler,Louis Paul Boon,De Kappelekensbaan/Zomer te Ter-Muren,"een klassieke tekst in de oorspronkelijke (boek)vorm,aandacht in de publieke ruimte (straatnamen, straatpoëzie, standbeelden …),een werk met een literatuurhistorisch onderwerp, zoals een biografie",NA,"...de Nederlandstalige literaire klassieken behandelen, met verplichte leeslijst",Vanuit cultuurhistorisch opzicht is het belangrijk te weten welke werken impact hadden in verschillende periodes die aan de onze voorafgaan. Het helpt om hedendaagse identiteitsdebatten te begrijpen.,NA,NA,"Ja, voor alle onderwijsrichtingen (BSO, TSO, KSO, ASO)",NA,NA,NA,"In meer en mindere mate, al dan niet anthologisch.",NA,NA,"Ja, voor alle onderwijsrichtingen (BSO, TSO, KSO, ASO)",NA,NA,NA,NA,50 werken,NA,Oneens,"...een fundament van een collectief cultureel geheugen,...elitair en niet inclusief",Beetje eens,"Ze kan daar naar streven, maar moet ook de historische werkelijkheid weergeven. In een door mannen gedomineerd cultureel veld, was de prominentste cultuurproductie mannelijk. Eerder dan die werkelijkheid te vertekenen, moet een canon dat debat faciliteren.",Beetje eens,"Ook hier: graag, en in toenemende mate wel. Maar de historisch scheve verhouding kan het hedendaagse debat voeden. Een inclusievere canon groeit vanuit een inclusievere literatuur.",Eens,"Dat kan, zolang het geen bubbeltjes worden. Raakvlakken zijn nodig.",Eens,Anton de Kom,NA,NA,NA,Helemaal oneens,NA,NA,NA,NA,Man,België,Nederlands,Hoger onderwijs (universitair),...wél met taal bezig,20,Nee,Ja,NA,NA,NA,30,"Ja, voor alle onderwijsrichtingen","Ja, voor alle onderwijsrichtingen",2,0,2,0,2,0,Analoog,0,0,elitair en niet-inclusief,0,0,een fundament van een collectief cultureel geheugen,0
100,440,TRUE,2022-05-19 03:15:49,R_6M3bVJZ8xxgVL5T,NL,"Ik ben zestien of ouder, besef dat mijn gegevens opgeslagen worden ten behoeve van wetenschappelijk onderzoek en ga hiermee akkoord",Van den vos Reynaerde,Max Havelaar,De ontdekking van de hemel,Oeroeg,Karel ende Elegast,NA,NA,NA,NA,NA,NA,NA,NA,NA,Van den vos Reynaerde,"een klassieke tekst in de oorspronkelijke (boek)vorm,het lezen van een literatuurgeschiedenis,websites als literatuurgeschiedenis.org; literairecanon.be",NA,"...de Nederlandstalige literaire klassieken behandelen, zonder verplichte leeslijst",NA,"Ja, maar alleen voor leerlingen van ...... (meerdere onderwijsvormen mogelijk)",vwo,NA,NA,NA,NA,NA,"Ja, maar alleen voor leerlingen van ...... (meerdere onderwijsvormen mogelijk)",vwo,NA,NA,NA,NA,NA,Geen vastgesteld aantal werken,NA,Neutraal,"...een inspiratiebron,...een fundament van een collectief cultureel geheugen",Neutraal,NA,Beetje eens,NA,Helemaal oneens,NA,Neutraal,NA,NA,NA,NA,Neutraal,NA,NA,NA,NA,Vrouw,Zwitserland,Duits,Hoger onderwijs (universitair),...wél met taal bezig,NA,Nee,Ja,NA,Neerlandistiek.nl,NA,33,"Ja, maar alleen voor leerlingen van ...","Ja, maar alleen voor leerlingen van ...",1,1,1,1,1,1,Analoog,0,0,0,0,0,een fundament van een collectief cultureel geheugen,0
100,629,TRUE,2022-05-19 03:15:59,R_3KC9NOZtxz4yZNY,NL,"Ik ben zestien of ouder, besef dat mijn gegevens opgeslagen worden ten behoeve van wetenschappelijk onderzoek en ga hiermee akkoord",De ontdekking van de hemel-Harry Mulisch,Max Havelaar-Multatuli,Gijsbrecht van Amstel-Vondel,Van den vos Reynaerde,De donkere kamer van Damokles - WFH,Hella S. Haasse - Oeroeg,Astrid Roemer - trilogie,Hersenschimmen - Bernlef,Simon Vestdijk - Terug tot Ina Damman,Louis Couperus - Van oud mensen,Lodewijk van Deyssel - Een liefde,Carry van Bruggen - Eva,Gerard Walschap - Houtekiet,Harry Mulisch,De ontdekking van de hemel,"een klassieke tekst in de oorspronkelijke (boek)vorm,het lezen van een literatuurgeschiedenis,een werk met een literatuurhistorisch onderwerp, zoals een biografie",NA,"...de Nederlandstalige literaire klassieken behandelen, met verplichte leeslijst",We hebben de verantwoordelijkheid om het literair erfgoed op een voor leerlingen relevante en urgente manier in het onderwijs aan te bieden.,"Ja, voor alle onderwijsrichtingen (mavo/vmbo, havo, vwo)",NA,NA,NA,NA,NA,"Literatuur is niet alleen een (v)wo-aangelegenheid, literatuur is van en voor iedereen.","Ja, voor alle onderwijsrichtingen (mavo/vmbo, havo, vwo)",NA,NA,NA,NA,NA,zie hiervoor,Geen vastgesteld aantal werken,NA,Helemaal eens,"...een inspiratiebron,...een fundament van een collectief cultureel geheugen,...een aanzet tot reflectie en een bron voor debat,...een aanzet tot dialoog over literatuur en literatuurbeleving,...een educatief instrument",Eens,Een open en inclusieve canon is voor zoveel mogelijk lezers zo inspirerend mogelijk,Eens,zie vorige,Eens,Ik zou zeggen: lees Maaike Meijers De Lust tot Lezen over 'de mythe van de ene literatuur'.,Eens,Astrid Roemer,Cola Debrot,Anton de Kom,NA,Eens,Annie M.G. Schmidt,Ted van Lieshout,Joke van Leeuwen,NA,Man,Nederland,Nederlands,Hoger onderwijs (universitair),...wél met taal bezig,120,Ja,Ja,NA,NA,NA,45,"Ja, voor alle onderwijsrichtingen","Ja, voor alle onderwijsrichtingen",2,0,2,0,2,0,Analoog,een aanzet tot dialoog over literatuur en literatuurbeleving,een educatief instrument,0,0,een aanzet tot reflectie en een bron voor debat,een fundament van een collectief cultureel geheugen,0
100,973,TRUE,2022-05-19 03:26:31,R_25AYySSQF2YfL2D,NL,"Ik ben zestien of ouder, besef dat mijn gegevens opgeslagen worden ten behoeve van wetenschappelijk onderzoek en ga hiermee akkoord",Hella Haasse,SImon Vestdijk,Multatuli,Vondel,Albert Alberts,Willem die Madocke maecte,Couperus,NA,NA,NA,"Vestdijk schijnt nauwelijks nog gelezen te worden, zonde.",NA,NA,NA,NA,"een klassieke tekst in de oorspronkelijke (boek)vorm,een gedigitaliseerde versie van een klassieke tekst (bijv. via de websites DBNL of Delpher),anders:",intertekstuele verwijzing naar een klassieke,"...de Nederlandstalige literaire klassieken behandelen, zonder verplichte leeslijst","lezen mag je best verplichten, maar niet wát er gelezen moet worden","Ja, maar alleen voor leerlingen van ...... (meerdere onderwijsvormen mogelijk)",vwo,NA,NA,NA,NA,"jong geleerd, etc.","Ja, voor alle onderwijsrichtingen (mavo/vmbo, havo, vwo)",NA,NA,NA,NA,NA,NA,Geen vastgesteld aantal werken,NA,Eens,...een inspiratiebron,Neutraal,kies gewoon goede  teksten/boeken,Neutraal,kies gewoon goede teksten/boeken,Neutraal,?,Neutraal,NA,NA,NA,"Moet, moet, moet.... Een goede literaire canon bevát ook Nederlandstalige teksten uit de voormalige koloniale gebieden.",Eens,Tonke Dragt,NA,NA,Kijk liever naar de kwaliteit van de tekst dan naar de zogenaamde doelgroep of andere beperkende indelingen.,Vrouw,Nederland,Nederlands,Hoger onderwijs (universitair),...wél met taal bezig,12,Nee,Ja,NA,via neerlandistiek.nl,NA,61,"Ja, maar alleen voor leerlingen van ...","Ja, voor alle onderwijsrichtingen",1,1,1,1,2,0,Digitaal,0,0,0,0,0,0,0
100,9540,TRUE,2022-05-19 03:27:07,R_1eqRWKHrUGAbOgO,NL,"Ik ben zestien of ouder, besef dat mijn gegevens opgeslagen worden ten behoeve van wetenschappelijk onderzoek en ga hiermee akkoord",Hedendaagsch fetischisme – Carry van Bruggen,Max Havelaar - Multatuli,Vanden Vos Reynaerde – Willem,Strofische gedichten – Hadewijch,Verzen – Herman Gorter,Op hoop van zegen – Herman Heijermans,Lucifer – Joost van den Vondel,De stille kracht – Louis Couperus,Vallen is als vliegen – Manon Uphoff,Het Achterhuis – Anne Frank,Prometheus – Carry van Bruggen,Het huis Lauernesse – A. Bosboom Toussaint,Wij slaven van Suriname – Anton de Kom,Louis Couperus,Nooit meer slapen – W.F. Hermans,"een klassieke tekst in de oorspronkelijke (boek)vorm,een gedigitaliseerde versie van een klassieke tekst (bijv. via de websites DBNL of Delpher),een klassieke tekst in herspelde, hertaalde of verstripte versie",NA,"...de Nederlandstalige literaire klassieken behandelen, met verplichte leeslijst",NA,"Ja, voor alle onderwijsrichtingen (mavo/vmbo, havo, vwo)",NA,NA,NA,NA,NA,NA,"Ja, voor alle onderwijsrichtingen (mavo/vmbo, havo, vwo)",NA,NA,NA,NA,NA,NA,100 werken,NA,Oneens,"...een inspiratiebron,...een fundament van een collectief cultureel geheugen,...een aanzet tot dialoog over literatuur en literatuurbeleving",Beetje eens,NA,Eens,NA,Beetje eens,NA,Beetje eens,Wij slaven ... – Anton de Kom,Winarta – Basuki Gunawan,NA,NA,Beetje oneens,NA,NA,NA,NA,Zeg ik liever niet,Nederland,Nederlands,Hoger onderwijs (universitair),...wél met taal bezig,100,Nee,Ja,NA,Neerlandistiek.nl,NA,55,"Ja, voor alle onderwijsrichtingen","Ja, voor alle onderwijsrichtingen",2,0,2,0,2,0,Digitaal,een aanzet tot dialoog over literatuur en literatuurbeleving,0,0,0,0,een fundament van een collectief cultureel geheugen,0
100,664,TRUE,2022-05-19 03:28:04,R_WCgHrYOqu4y0lJD,NL,"Ik ben zestien of ouder, besef dat mijn gegevens opgeslagen worden ten behoeve van wetenschappelijk onderzoek en ga hiermee akkoord",Reinaerts historie,Van den vos Reinaerde,"Lucifer, Vondel","Dubbelspel, Arion",NA,NA,NA,NA,NA,NA,Reinaerts historie,"De kleine Johannes, v. Eeden",NA,NA,NA,"een klassieke tekst in de oorspronkelijke (boek)vorm,een gedigitaliseerde versie van een klassieke tekst (bijv. via de websites DBNL of Delpher),een werk met een literatuurhistorisch onderwerp, zoals een biografie",NA,"...de Nederlandstalige literaire klassieken behandelen, zonder verplichte leeslijst",Het is belangrijk dat leerlingen worden uitgenodigd om hun leeservaringen te verrijken maar geen enkel boek is relevant voor alle leerlingen.,"Ja, voor alle onderwijsrichtingen (mavo/vmbo, havo, vwo)",NA,NA,NA,NA,NA,"overigens wat mij betreft in aangepaste vorm, behalve voor het vwo","Ja, maar alleen voor leerlingen van ...... (meerdere onderwijsvormen mogelijk)",havo en vwo,NA,NA,NA,NA,literatuurgeschiedenis is minder belangrijk dan leerlingen aan het lezen krijgen,Geen vastgesteld aantal werken,NA,Eens,"...een inspiratiebron,...een fundament van een collectief cultureel geheugen,...een aanzet tot dialoog over literatuur en literatuurbeleving",Beetje eens,"het zou niet nodig moeten zijn en voor het verleden is het tamelijk zinloos, maar gezien onze vooroordelen heeft het voor de moderne tijd wel zin.",Eens,het naast elkaar bestaan van verschillende perspectieven is belangrijk,Eens,NA,Neutraal,NA,NA,NA,NA,Neutraal,NA,NA,NA,dat hangt af van wat je met die canon wilt bereiken en waar je hem voor inzet,Man,Nederland,Nederlands,Hoger onderwijs (universitair),...wél met taal bezig,60,Ja,Nee,NA,NA,NA,72,"Ja, voor alle onderwijsrichtingen","Ja, maar alleen voor leerlingen van ...",1,1,2,0,1,1,Digitaal,een aanzet tot dialoog over literatuur en literatuurbeleving,0,0,0,0,een fundament van een collectief cultureel geheugen,0
100,722,TRUE,2022-05-19 03:28:21,R_wYNS51WBlaVOMGl,NL,"Ik ben zestien of ouder, besef dat mijn gegevens opgeslagen worden ten behoeve van wetenschappelijk onderzoek en ga hiermee akkoord",Het verdriet van België - Hugo Claus,Strofische gedichten - Hadewych,Kaas - Willem Elschot,De bekeerlinge - Stefan Hertmans,Heren van de thee - Hella S. Haasse,De weg naar Egypte - Gertrude Starink,Koor - Peter Verhelst,Elias - Maurice Gilliams,Verzamelde gedichten - M. Vasalis,Miroirs - Christine D'haen,Christine D'haen,Gerturde Starink,NA,NA,NA,een klassieke tekst in de oorspronkelijke (boek)vorm,NA,"...de Nederlandstalige literaire klassieken behandelen, met verplichte leeslijst",NA,NA,NA,"Ja, voor alle onderwijsrichtingen (BSO, TSO, KSO, ASO)",NA,NA,NA,NA,NA,NA,"Ja, voor alle onderwijsrichtingen (BSO, TSO, KSO, ASO)",NA,NA,NA,NA,Geen vastgesteld aantal werken,NA,Helemaal eens,...een aanzet tot dialoog over literatuur en literatuurbeleving,Helemaal eens,NA,Helemaal eens,NA,Helemaal eens,NA,Helemaal eens,Marlene Van Niekerk,Alfred Schaffer,NA,NA,Eens,Tonke Dragt,NA,NA,NA,Vrouw,België,Nederlands,Hoger onderwijs (universitair),...wél met taal bezig,35,Nee,Ja,NA,NA,NA,54,"Ja, voor alle onderwijsrichtingen","Ja, voor alle onderwijsrichtingen",2,0,2,0,2,0,Analoog,een aanzet tot dialoog over literatuur en literatuurbeleving,0,0,0,0,0,0
