,identifier,response_id,sentence_number,token_number,token,lemma,pos
0,QI_R_2wjiSHblELDyZMY_0_0,R_2wjiSHblELDyZMY,0,0,voorlezen,voorlezen,VERB
1,QI_R_2wjiSHblELDyZMY_0_1,R_2wjiSHblELDyZMY,0,1,met,met,ADP
2,QI_R_2wjiSHblELDyZMY_0_2,R_2wjiSHblELDyZMY,0,2,acteurs,acteur,NOUN
3,QI_R_2wjiSHblELDyZMY_0_3,R_2wjiSHblELDyZMY,0,3,of,of,CCONJ
4,QI_R_2wjiSHblELDyZMY_0_4,R_2wjiSHblELDyZMY,0,4,auteurs,auteur,NOUN
5,QI_R_2wjiSHblELDyZMY_0_5,R_2wjiSHblELDyZMY,0,5,themagerelateerde,themagerelateeren,ADJ
6,QI_R_2wjiSHblELDyZMY_0_6,R_2wjiSHblELDyZMY,0,6,tekstbundelingen,tekstbundeling,NOUN
7,QI_R_2wjiSHblELDyZMY_0_7,R_2wjiSHblELDyZMY,0,7,met,met,ADP
8,QI_R_2wjiSHblELDyZMY_0_8,R_2wjiSHblELDyZMY,0,8,korte,kort,ADJ
9,QI_R_2wjiSHblELDyZMY_0_9,R_2wjiSHblELDyZMY,0,9,fragmenten,fragment,NOUN
10,QI_R_2OVxUcnSQ8BFaqa_0_0,R_2OVxUcnSQ8BFaqa,0,0,Tijdschriftnummers,tijdschriftnummer,NOUN
11,QI_R_2OVxUcnSQ8BFaqa_0_1,R_2OVxUcnSQ8BFaqa,0,1,",",",",PUNCT
12,QI_R_2OVxUcnSQ8BFaqa_0_2,R_2OVxUcnSQ8BFaqa,0,2,debatten,debat,NOUN
13,QI_R_2OVxUcnSQ8BFaqa_0_3,R_2OVxUcnSQ8BFaqa,0,3,",",",",PUNCT
14,QI_R_2OVxUcnSQ8BFaqa_0_4,R_2OVxUcnSQ8BFaqa,0,4,festivals,festival,NOUN
15,QI_R_2aDoOjymUPyjNPm_0_0,R_2aDoOjymUPyjNPm,0,0,werken,werken,VERB
16,QI_R_2aDoOjymUPyjNPm_0_1,R_2aDoOjymUPyjNPm,0,1,met,met,ADP
17,QI_R_2aDoOjymUPyjNPm_0_2,R_2aDoOjymUPyjNPm,0,2,vertalingen,vertaling,NOUN
18,QI_R_2aDoOjymUPyjNPm_0_3,R_2aDoOjymUPyjNPm,0,3,naar,naar,ADP
19,QI_R_2aDoOjymUPyjNPm_0_4,R_2aDoOjymUPyjNPm,0,4,andere,ander,ADJ
20,QI_R_2aDoOjymUPyjNPm_0_5,R_2aDoOjymUPyjNPm,0,5,talen,taal,NOUN
21,QI_R_2aDoOjymUPyjNPm_0_6,R_2aDoOjymUPyjNPm,0,6,",",",",PUNCT
22,QI_R_2aDoOjymUPyjNPm_0_7,R_2aDoOjymUPyjNPm,0,7,ook,ook,ADV
23,QI_R_2aDoOjymUPyjNPm_0_8,R_2aDoOjymUPyjNPm,0,8,kleinere,klein,ADJ
24,QI_R_2aDoOjymUPyjNPm_0_9,R_2aDoOjymUPyjNPm,0,9,talen,taal,NOUN
